,date,time,static
533,('date=2021-06-21', 'time=10:18:10'," 'down""')"
534,('date=2021-06-21', 'time=10:15:31'," 'up""')"
535,('date=2021-06-21', 'time=10:15:31'," 'up""')"
536,('date=2021-06-21', 'time=10:03:51'," 'down""')"
537,('date=2021-06-21', 'time=10:02:44'," 'up""')"
538,('date=2021-06-21', 'time=10:02:44'," 'up""')"
539,('date=2021-06-21', 'time=09:56:20'," 'down""')"
540,('date=2021-06-21', 'time=09:56:20'," 'down""')"
541,('date=2021-06-21', 'time=09:51:43'," 'up""')"
542,('date=2021-06-21', 'time=09:51:42'," 'up""')"
543,('date=2021-06-21', 'time=09:41:40'," 'down""')"
544,('date=2021-06-21', 'time=09:41:39'," 'down""')"
545,('date=2021-06-21', 'time=09:41:12'," 'up""')"
546,('date=2021-06-21', 'time=09:41:11'," 'up""')"
547,('date=2021-06-18', 'time=17:34:11'," 'down""')"
548,('date=2021-06-18', 'time=17:34:10'," 'down""')"
549,('date=2021-06-18', 'time=17:31:19'," 'up""')"
550,('date=2021-06-18', 'time=17:31:19'," 'up""')"
551,('date=2021-06-18', 'time=17:28:48'," 'down""')"
552,('date=2021-06-18', 'time=17:28:47'," 'down""')"
553,('date=2021-06-18', 'time=17:27:59'," 'up""')"
554,('date=2021-06-18', 'time=17:27:58'," 'up""')"
555,('date=2021-06-18', 'time=17:23:32'," 'down""')"
556,('date=2021-06-18', 'time=17:23:31'," 'down""')"
559,('date=2021-06-18', 'time=16:56:50'," 'up""')"
560,('date=2021-06-18', 'time=16:56:49'," 'up""')"
561,('date=2021-06-18', 'time=16:51:45'," 'down""')"
562,('date=2021-06-18', 'time=16:51:45'," 'down""')"
565,('date=2021-06-18', 'time=16:29:26'," 'up""')"
566,('date=2021-06-18', 'time=16:29:25'," 'up""')"
567,('date=2021-06-18', 'time=16:28:09'," 'down""')"
568,('date=2021-06-18', 'time=16:28:08'," 'down""')"
569,('date=2021-06-18', 'time=16:23:38'," 'up""')"
570,('date=2021-06-18', 'time=16:23:38'," 'up""')"
571,('date=2021-06-18', 'time=13:58:39'," 'down""')"
572,('date=2021-06-18', 'time=13:58:39'," 'down""')"
573,('date=2021-06-18', 'time=13:52:28'," 'up""')"
574,('date=2021-06-18', 'time=13:52:27'," 'up""')"
575,('date=2021-06-18', 'time=11:29:46'," 'down""')"
576,('date=2021-06-18', 'time=11:29:46'," 'down""')"
582,('date=2021-06-18', 'time=10:38:30'," 'up""')"
583,('date=2021-06-18', 'time=10:38:29'," 'up""')"
584,('date=2021-06-18', 'time=10:03:08'," 'down""')"
585,('date=2021-06-18', 'time=10:03:08'," 'down""')"
586,('date=2021-06-18', 'time=10:00:30'," 'up""')"
587,('date=2021-06-18', 'time=10:00:29'," 'up""')"
588,('date=2021-06-18', 'time=09:52:20'," 'down""')"
589,('date=2021-06-18', 'time=09:52:20'," 'down""')"
590,('date=2021-06-18', 'time=09:44:37'," 'up""')"
591,('date=2021-06-18', 'time=09:44:37'," 'up""')"
592,('date=2021-06-18', 'time=09:43:27'," 'down""')"
593,('date=2021-06-18', 'time=09:43:27'," 'down""')"
596,('date=2021-06-18', 'time=09:19:07'," 'up""')"
597,('date=2021-06-18', 'time=09:19:07'," 'up""')"
598,('date=2021-06-17', 'time=18:03:43'," 'down""')"
599,('date=2021-06-17', 'time=18:03:41'," 'down""')"
605,('date=2021-06-17', 'time=17:11:09'," 'up""')"
606,('date=2021-06-17', 'time=17:11:08'," 'up""')"
607,('date=2021-06-17', 'time=17:06:11'," 'down""')"
612,('date=2021-06-17', 'time=16:24:08'," 'up""')"
613,('date=2021-06-17', 'time=16:24:07'," 'up""')"
614,('date=2021-06-17', 'time=16:10:23'," 'down""')"
615,('date=2021-06-17', 'time=16:10:21'," 'down""')"
618,('date=2021-06-17', 'time=15:46:30'," 'up""')"
619,('date=2021-06-17', 'time=15:46:29'," 'up""')"
621,('date=2021-06-17', 'time=15:41:25'," 'down""')"
622,('date=2021-06-17', 'time=15:41:24'," 'down""')"
627,('date=2021-06-17', 'time=14:55:09'," 'up""')"
628,('date=2021-06-17', 'time=14:55:08'," 'up""')"
629,('date=2021-06-17', 'time=14:38:29'," 'down""')"
630,('date=2021-06-17', 'time=14:38:28'," 'down""')"
635,('date=2021-06-17', 'time=13:56:50'," 'up""')"
636,('date=2021-06-17', 'time=13:56:49'," 'up""')"
637,('date=2021-06-17', 'time=13:10:36'," 'down""')"
638,('date=2021-06-17', 'time=13:10:36'," 'down""')"
653,('date=2021-06-17', 'time=10:40:14'," 'up""')"
654,('date=2021-06-17', 'time=10:40:13'," 'up""')"
655,('date=2021-06-17', 'time=09:33:42'," 'down""')"
656,('date=2021-06-17', 'time=09:33:40'," 'down""')"
658,('date=2021-06-17', 'time=09:19:28'," 'up""')"
659,('date=2021-06-17', 'time=09:19:27'," 'up""')"
660,('date=2021-06-16', 'time=18:38:32'," 'down""')"
661,('date=2021-06-16', 'time=18:38:31'," 'down""')"
666,('date=2021-06-16', 'time=17:52:03'," 'up""')"
667,('date=2021-06-16', 'time=17:52:03'," 'up""')"
668,('date=2021-06-14', 'time=16:21:51'," 'down""')"
671,('date=2021-06-14', 'time=15:59:20'," 'up""')"
672,('date=2021-06-14', 'time=15:59:20'," 'up""')"
673,('date=2021-06-11', 'time=17:38:16'," 'down""')"
674,('date=2021-06-11', 'time=17:38:14'," 'down""')"
699,('date=2021-06-11', 'time=13:31:34'," 'up""')"
700,('date=2021-06-11', 'time=13:31:33'," 'up""')"
701,('date=2021-06-11', 'time=13:24:38'," 'down""')"
702,('date=2021-06-11', 'time=13:24:37'," 'down""')"
706,('date=2021-06-11', 'time=12:48:37'," 'up""')"
707,('date=2021-06-11', 'time=12:48:37'," 'up""')"
708,('date=2021-06-09', 'time=16:22:59'," 'down""')"
709,('date=2021-06-09', 'time=16:20:27'," 'up""')"
710,('date=2021-06-09', 'time=16:20:26'," 'up""')"
711,('date=2021-06-09', 'time=16:09:25'," 'down""')"
713,('date=2021-06-09', 'time=15:56:11'," 'up""')"
714,('date=2021-06-09', 'time=15:56:10'," 'up""')"
716,('date=2021-06-09', 'time=14:40:54'," 'down""')"
718,('date=2021-06-09', 'time=14:29:51'," 'up""')"
719,('date=2021-06-09', 'time=14:29:50'," 'up""')"
721,('date=2021-06-09', 'time=12:04:24'," 'down""')"
722,('date=2021-06-09', 'time=11:57:51'," 'up""')"
723,('date=2021-06-09', 'time=11:57:51'," 'up""')"
724,('date=2021-06-09', 'time=09:18:38'," 'down""')"
725,('date=2021-06-09', 'time=09:18:22'," 'up""')"
726,('date=2021-06-09', 'time=09:18:21'," 'up""')"
727,('date=2021-06-09', 'time=09:16:21'," 'down""')"
728,('date=2021-06-09', 'time=09:16:19'," 'down""')"
729,('date=2021-06-09', 'time=09:07:35'," 'up""')"
730,('date=2021-06-09', 'time=09:07:35'," 'up""')"
731,('date=2021-06-09', 'time=09:05:52'," 'down""')"
732,('date=2021-06-09', 'time=09:05:51'," 'down""')"
733,('date=2021-06-09', 'time=09:01:42'," 'up""')"
734,('date=2021-06-09', 'time=09:01:42'," 'up""')"
735,('date=2021-06-09', 'time=08:20:59'," 'down""')"
750,('date=2021-06-09', 'time=05:53:26'," 'up""')"
751,('date=2021-06-09', 'time=05:53:25'," 'up""')"
752,('date=2021-06-08', 'time=19:45:04'," 'down""')"
753,('date=2021-06-08', 'time=19:45:03'," 'down""')"
770,('date=2021-06-08', 'time=16:57:19'," 'up""')"
771,('date=2021-06-08', 'time=16:57:18'," 'up""')"
772,('date=2021-06-08', 'time=16:53:08'," 'down""')"
774,('date=2021-06-08', 'time=16:39:19'," 'up""')"
775,('date=2021-06-08', 'time=16:39:18'," 'up""')"
